"number","date","name","form","address","types_of_service","inn","ogrn","status","date_of_changes","basis_for_entry","date_of_exclusion","basis_for_exception"
"28","05.08.2010","Автономная некоммерческая образовательная организация Воронежский учебный центр \"Охрана труда","Автономная некоммерческая организация","394038, Воронежская область, Воронеж,  Конструкторов, 31,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3662064160","1033600016295","Действующая организация","","","",""
"29","05.08.2010","Автономная некоммерческая организация \"Центр повышения квалификации","Автономная некоммерческая организация","426063, Удмуртская Республика, Ижевск, Ключевой поселок, 7,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","1831101465","1051800451504","Действующая организация","","","",""
"21","04.08.2010","Общество с ограниченной ответственностью \"КИОУТ-Консалтинг","Общество с ограниченной ответственностью","105215, Москва, ул. Константина Федина, д. 1, кор. 2, стр. 2","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","7719723026","1097746250150","Действующая организация","","","",""
"19","03.08.2010","Автономное учреждение \"Центр охраны и медицины труда","Государственное бюджетное учреждение","394030, Воронежская область, Воронеж,  Плехановская,  53,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3664031266","1023601558760","Действующая организация","","","",""
"20","03.08.2010","Частное учреждение Федерации Независимых Профсоюзов России  \"Научно-исследовательский институт охраны трудa в г.Екатеринбурге","ПО Негосударственное образовательное учреждение  профессионального образоваия","620075, Свердловская область, Екатеринбург, Толмачева, 11,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","6661001580","1026605227912","Действующая организация","","","",""
"31","06.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебно-методический центр \"Система вопросов охраны труда","Автономная некоммерческая организация","117452, Москва, Москва, Азовская, 15А,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7725254559","1077799000751","Действующая организация","","","",""
"36","09.08.2010","Общество с ограниченной ответственностью \"Безопасность труда","Общество с ограниченной ответственностью","430005, Республика Мордовия, Саранск,  Московская, 14, 316","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","1326210990","1091326001227","Исключена из реестра","","","26.01.2018","Заявление организации №"
"46","12.08.2010","Общество с ограниченной ответственностью \"АКОРд","Общество с ограниченной ответственностью","665463, Иркутская область, Усолье-Сибирское,  Ленина,  75,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","3819021390","1083819001540","Действующая организация","","","",""
"45","12.08.2010","Государственное учреждение Республики Коми \"Главное управление материально-технического обеспечения здравоохранения Республики Коми","Государственное бюджетное учреждение","167000, Республика Коми, Сыктывкар, Колхозная,  40/30,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","1101461377","1021100520396","Действующая организация","","","",""
"42","10.08.2010","Автономная некоммерческая организация Алтайский краевой центр аттестации и экспертизы условий труда","Автономная некоммерческая организация","656043, Алтайский край, Барнаул, Анатолия, 133,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","2225047330","2072202069454","Действующая организация","","","",""
"44","12.08.2010","Общество с ограниченной ответственностью \"Информационно-аналитический центр \"СВОТ","Общество с ограниченной ответственностью","117452, Москва, Москва, Азовская, 15 А,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","7725535253","1057746498512","Действующая организация","","","",""
"30","05.08.2010","Общество с ограниченной ответственностью \"Центр экспертизы работ по охране труда","Общество с ограниченной ответственностью","404111, Волгоградская область, Волжский,  Молодежная, 30, 214","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","3435067863","1043400075905","Действующая организация","","","",""
"53","13.08.2010","Общество с ограниченной ответственностью \"Первый Партнер охраны труда","Общество с ограниченной ответственностью","107023, Москва, Москва, Семеновский пер., 11, VIII","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","7723736300","1097746696717","Действующая организация","","","",""
"54","26.08.2010","Федеральное государственное бюджетное учреждение \"Научно-исследовательский институт труда и социального страхования\" Министерства труда и социальной защиты Российской Федерации","Государственное бюджетное учреждение","105064, Москва, ул. Земляной вал, д.34","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7709889671","1117746895925","Действующая организация","","","",""
"55","26.08.2010","Общество с ограниченной ответственностью \"Диалог-Эко","Общество с ограниченной ответственностью","352192, Гулькевичи, ул. Ленинградская, 21/14","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","2329018118","1042316352748","Действующая организация","","","",""
"57","26.08.2010","Общество с ограниченной ответственностью \"Сибирская компания оказания услуг","Общество с ограниченной ответственностью","630108, Новосибирск, ул. Станционная, 30 а/я 6","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","5403231401","1095403009129","Действующая организация","","","",""
"58","26.08.2010","Общество с ограниченной ответственностью \"Центр охраны труда, промышленной безопасности и социального партнерства","Общество с ограниченной ответственностью","127106, Москва, ул. Гостиничная, д. 5, стр. 10","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","7715791650","1107746009689","Действующая организация","","","",""
"66","31.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Юнитал-М","Автономная некоммерческая организация","101000, Москва, Москва, Малый Златоустинский пер., 6,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7706238953","1037739086725","Действующая организация","","","",""
"65","31.08.2010","Общество с ограниченной ответственностью \"АРМ-Центр","Общество с ограниченной ответственностью","398043, Липецк, ул. Гагарина, д.108","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","4824039162","1074823002242","Действующая организация","","","",""
"62","31.08.2010","Общество с ограниченной ответственностью \"Белгородский санитарно-эпидемиологический сервис","Общество с ограниченной ответственностью","308010, Белгород, проспект Б.Хмельницкого, д.195","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","3123119160","1053107051326","Действующая организация","","","",""
"88","25.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Центр охраны труда","Автономная некоммерческая организация","443070, Самарская область, Самара, Аэродромная, 45А, 620","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","6316147177","1096300002941","Действующая организация","","","",""
"100","27.09.2010","Общество с ограниченной ответственностью \"Экспертно-аналитический центр \"Технологии труда","Общество с ограниченной ответственностью","101000, Москва, Москва,  Мясницкая, 24\\7,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","7721552610","1067746463905","Действующая организация","","","",""
"85","27.08.2010","Открытое акционерное общество \"Научно-исследовательский институт безопасности труда в металлургии","Открытое акционерное общество","454047, Челябинская область, Челябинск, 2-я Павелецкая, 10,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","7450035912","1057423000931","Действующая организация","","","",""
"95","27.08.2010","Автономное учреждение Омской области дополнительного профессионального образования \"Центр охраны труда","Автономная некоммерческая организация","644001, Омская область, Омск, Куйбышева, 69,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5504064860","1025500977457","Действующая организация","","","",""
"75","24.08.2010","Государственное учреждение Республики Коми \"Центр занятости населения города Ухты","Автономная некоммерческая организация","169309, Республика Коми, Ухта, Пионергородский проезд, 2,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","1102018094","1021100730540","Действующая организация","","","",""
"82","24.08.2010","Автономная некоммерческая организация \"Учебно-консультационный центр \"Труд","Автономная некоммерческая организация","115280, Москва, Москва, 1-й Автозаводской проезд, 4, 601","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","7709335271","1027700518713","Действующая организация","","","",""
"64","10.09.2010","Общество с ограниченной ответственностью \"НКР Труд-Сервис","Общество с ограниченной ответственностью","129327, Москва, ул. Менжинского, д.3","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","7716217945","1027739300710","Действующая организация","","","",""
"97","02.09.2010","Общество с ограниченной ответственностью \"Уралтеханалит","Общество с ограниченной ответственностью","614000, Пермский край, Пермь,  Краснова, 24 Б,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда","5904083401","1035900500778","Действующая организация","","","",""
"103","01.09.2010","Частное учреждение-организация дополнительного профессионального образования \"Центр обучения специалистов по охране труда","ПО Негосударственное образовательное учреждение  профессионального образоваия","432013, Ульяновская область, Ульяновск,  Промышленная, 53Б, 300","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7327050475","1097300000192","Действующая организация","","","",""
"105","01.09.2010","Нижегородская региональная общественная организация инвалидов \"Социальная реабилитация","Негосударственная некоммерческая организация","603032, Нижегородская область, Нижний Новгород, Архитектурная, 9А,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","5258027334","1025200008866","Действующая организация","","","",""
"111","25.08.2010","Федеральное государственное бюджетное учреждение \"Всероссийский научно-исследовательский институт труда\" Министерства труда и социальной защиты Российской Федерации","Государственное бюджетное учреждение","105043, Москва, Москва,  4-я Парковая, 29,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7719127048","1027739708358","Действующая организация","","","",""
"149","01.09.2010","Государственное образовательное учреждение высшего профессионального образования \"Уфимский государственный нефтяной технический университет","ВПО Государственное образовательное учреждение высшего профессионального образоваия","450062, Уфа, ул.Космонавтов,1","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","277006179","1020203079016","Действующая организация","","","",""
"146","27.09.2010","Автономная некоммерческая образовательная организация дополнительного профессионального образования \"Учебный центр \"ЛОГОС","Автономная некоммерческая организация","394018, Воронежская область, Воронеж,  Свободы, 31, 40","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3664081764","1083600000164","Действующая организация","","","",""
"115","22.09.2010","Автономная некоммерческая организация \"Мурманский региональный учебный центр профсоюзов","Автономная некоммерческая организация","183032, Мурманск, пр.Ленина, 12.","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5191120440","1025100848805","Действующая организация","","","",""
"136","22.09.2010","Частное учреждение дополнительного профессионального образования Новосибирский учебный центр \"СибПроф","ПО Негосударственное образовательное учреждение  профессионального образоваия","630078, Новосибирская область, Новосибирск, Ватутина, 20, 1","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5404303049","1065400045402","Действующая организация","","","",""
"171","30.09.2010","Автономная некоммерческая образовательная организация дополнительного профессионального образования \"Краевой центр охраны труда","Автономная некоммерческая организация","692245, Спасск-Дальний, ул. Советская, д.41","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","2510012173","1082500002727","Действующая организация","","","",""
"214","01.10.2010","Автономная некоммерческая организация дополнительного профессионального образования Новгородский Учебно-деловой центр предпринимательства и малого бизнеса","Автономная некоммерческая организация","173001, Великий Новгород, ул. Яковлева, д. 13, оф. 25","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","5321010842","1025300792472","Действующая организация","","","",""
"216","01.10.2010","Автономная некоммерческая организация \"Центр единых научно-технологических разработок РОСТа","Автономная некоммерческая организация","109341, Москва, ул. Верхние поля, д. 16","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","7730183663","1097799044485","Действующая организация","","","",""
"190","30.09.2010","Негосударственное образовательное учреждение дополнительного профессионального образования \"Центр повышения квалификации \"Вакант","ПО Негосударственное образовательное учреждение  профессионального образоваия","610035, Киров, ул.Сурикова, 19","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","4345020284","1024301344660","Действующая организация","","","",""
"203","30.09.2010","Общество с ограниченной ответственностью \"Проектно-экспертная группа КПР","Общество с ограниченной ответственностью","117452, Москва, Москва, Азовская, 15а,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","7727706360","1097746794672","Действующая организация","","","",""
"193","30.09.2010","Общество с ограниченной ответственностью \"Охрана труда -КОНСАЛТИНГ","Общество с ограниченной ответственностью","350020, Краснодар, ул.Коммунаров, д.268, офис 45а.","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","2310118380","1062310037899","Действующая организация","","","",""
"191","30.09.2010","Общество с ограниченной ответственностью \"Сибирский Центр Безопасности Труда","Общество с ограниченной ответственностью","656023, Барнаул, ул. Э.Алексеевой, 94","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","2223963182","1072223004314","Действующая организация","","","",""
"196","30.09.2010","Частное учреждение дополнительного профессионального образования \"Центр охраны труда","ПО Негосударственное образовательное учреждение  профессионального образоваия","460000, Оренбургская область, Оренбург, Володарского, 2а,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","5610098370","1095600000715","Действующая организация","","","",""
"222","01.10.2010","Общество с ограниченной ответственностью \"Центр охраны труда","Общество с ограниченной ответственностью","620028, Екатеринбург, ул.Татищева, 96-84","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек","6658306623","1086658009624","Действующая организация","","","",""
