"number","date","name","form","address","types_of_service","inn","ogrn","status","date_of_changes","basis_for_entry","date_of_exclusion","basis_for_exception"
"22","04.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Институт промышленной безопасности, охраны труда и социального партнерства","ПО Негосударственное образовательное учреждение  профессионального образоваия","190098, Санкт-Петербург, Санкт-Петербург, Конногвардейский бул., 19,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","7826732280","1027810244087","Действующая организация","","","",""
"23","05.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебно-деловой центр Волжской ТПП","Автономная некоммерческая организация","404111, Волгоградская область, Волжский, Советская, 13,","Обучение работодателей и работников вопросам охраны труда","3435931057","1053477048470","Действующая организация","","","",""
"24","05.08.2010","Автономная некоммерческая организация \"Учебно-методический центр НИИ труда и социального страхования","Автономная некоммерческая организация","664007, Иркутская область, Иркутск, Ф. Энгельса, 8,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","3808187429","1093800002416","Действующая организация","","","",""
"25","05.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Башкирский межотраслевой институт охраны труда, экологии и безопасности на производстве","ПО Негосударственное образовательное учреждение  профессионального образоваия","450006, Республика Башкортостан, Уфа, Революционная, 55,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","278007312","1020203223831","Действующая организация","","","",""
"26","05.08.2010","Некоммерческое образовательное частное учреждение (организация) \"Центр дополнительного профессионального образования","ПО Негосударственное образовательное учреждение  профессионального образоваия","404111, Волгоградская область, Волжский,  Молодежная, 30А,","Обучение работодателей и работников вопросам охраны труда","3435881896","1073400002378","Действующая организация","","","",""
"18","02.08.2010","Автономная некоммерческая организация \"Магнитогорский региональный центр охраны труда \"Труд-Эксперт Максимум","Автономная некоммерческая организация","455039, Челябинская область, Магнитогорск,  Московская, 19,","Обучение работодателей и работников вопросам охраны труда","7445018936","1027402173402","Действующая организация","","","",""
"27","05.08.2010","Частное образовательное учреждение дополнительного профессионального образования Ханты-Мансийского автономного округа-Югры \"Центр охраны труда","ПО Негосударственное образовательное учреждение  профессионального образоваия","628001, Ханты-Мансийский АО, Ханты-Мансийск, Ямская, 12, помещение 1, секция В","Обучение работодателей и работников вопросам охраны труда","8601026400","1058600022744","Действующая организация","","","",""
"28","05.08.2010","Автономная некоммерческая образовательная организация Воронежский учебный центр \"Охрана труда","Автономная некоммерческая организация","394038, Воронежская область, Воронеж,  Конструкторов, 31,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3662064160","1033600016295","Действующая организация","","","",""
"29","05.08.2010","Автономная некоммерческая организация \"Центр повышения квалификации","Автономная некоммерческая организация","426063, Удмуртская Республика, Ижевск, Ключевой поселок, 7,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","1831101465","1051800451504","Действующая организация","","","",""
"32","06.08.2010","Частное образовательное  учреждение дополнительного профессионального образования  Учебный центр \"Полипроф","ПО Негосударственное образовательное учреждение  профессионального образоваия","400075, Волгоградская область,  р.п. Гумрак, пр-зд Таймырский, 4,","Обучение работодателей и работников вопросам охраны труда","3443037573","1023402970293","Действующая организация","","","",""
"19","03.08.2010","Автономное учреждение \"Центр охраны и медицины труда","Государственное бюджетное учреждение","394030, Воронежская область, Воронеж,  Плехановская,  53,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","3664031266","1023601558760","Действующая организация","","","",""
"20","03.08.2010","Частное учреждение Федерации Независимых Профсоюзов России  \"Научно-исследовательский институт охраны трудa в г.Екатеринбурге","ПО Негосударственное образовательное учреждение  профессионального образоваия","620075, Свердловская область, Екатеринбург, Толмачева, 11,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","6661001580","1026605227912","Действующая организация","","","",""
"31","06.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебно-методический центр \"Система вопросов охраны труда","Автономная некоммерческая организация","117452, Москва, Москва, Азовская, 15А,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7725254559","1077799000751","Действующая организация","","","",""
"33","06.08.2010","Автономная некоммерческая организация \"Тульский региональный центр охраны труда","Автономная некоммерческая организация","300041, Тульская область, Тула, Металлистов, 2а,","Обучение работодателей и работников вопросам охраны труда","7106029901","1027100748619","Исключена из реестра","","","26.01.2018","Заявление организации №  абз.3 пункта 20 Правил, утв. приказом № 205н"
"34","06.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Консорциум профессионального менеджмента","Автономная некоммерческая организация","629008, Ямало-Ненецкий автономный округ, Салехард, Ямальская, 9,","Обучение работодателей и работников вопросам охраны труда","8901034120","1168900050440","Действующая организация","","","",""
"35","06.08.2010","Автономная некоммерческая организация \"Учебный центр Газ-Нефть","ПО Негосударственное образовательное учреждение  профессионального образоваия","450065, Республика Башкортостан, Уфа, . Кулибина, 46,","Обучение работодателей и работников вопросам охраны труда","277985654","1120200000887","Действующая организация","","","",""
"37","09.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Учебно-методический центр \"Защита","Автономная некоммерческая организация","455021, Челябинская область, Магнитогорск, Ворошилова, 37,","Обучение работодателей и работников вопросам охраны труда","7444055678","1077400004109","Действующая организация","","","",""
"38","10.08.2010","Частное Образовательное Учреждение  Дополнительного Образования \"АТТЕСТАЦИЯ -Плюс","ПО Негосударственное образовательное учреждение  профессионального образоваия","423800, Набережные Челны, Юр.адрес: 423872, Тукаевский р-он, пос. Новый, ул. Центральная, 1","Обучение работодателей и работников вопросам охраны труда","1639035175","1071600000416","Действующая организация","","","",""
"39","10.08.2010","Негосударственное образовательное частное учреждение Организация дополнительного профессионального образования \"Нефтеюганский институт прогнозирования и развития","ПО Негосударственное образовательное учреждение  профессионального образоваия","628307, Ханты-Мансийский АО, Нефтеюганск, 8 микрорайон, 5, 53","Обучение работодателей и работников вопросам охраны труда","8604026616","1028601263899","Действующая организация","","","",""
"45","12.08.2010","Государственное учреждение Республики Коми \"Главное управление материально-технического обеспечения здравоохранения Республики Коми","Государственное бюджетное учреждение","167000, Республика Коми, Сыктывкар, Колхозная,  40/30,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","1101461377","1021100520396","Действующая организация","","","",""
"42","10.08.2010","Автономная некоммерческая организация Алтайский краевой центр аттестации и экспертизы условий труда","Автономная некоммерческая организация","656043, Алтайский край, Барнаул, Анатолия, 133,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Проведение аттестации рабочих мест по условиям труда; Обучение работодателей и работников вопросам охраны труда","2225047330","2072202069454","Действующая организация","","","",""
"40","10.08.2010","Автономное учреждение Удмуртской Республики \"Центр кадровой политики, повышения уровня и развития квалификаций","Государственное бюджетное учреждение","426034, Удмуртская Республика, Ижевск, .Тельмана, 14,","Обучение работодателей и работников вопросам охраны труда","1840003802","1111841011237","Действующая организация","","","",""
"41","10.08.2010","Фонд охраны труда Сергиево-Посадского района","Некоммерческое партнерство","141300, Московская область, Сергиев Посад, пр-кт Красной Армии, 136, 18","Обучение работодателей и работников вопросам охраны труда","5042035205","1025005325180","Действующая организация","","","",""
"47","12.08.2010","Негосударственное (частное) образовательное учреждение дополнительного профессионального образования \"Сибирский корпоративный энергетический университет\"(Томский филиал)","ПО Негосударственное образовательное учреждение  профессионального образоваия","634015, Томская область, Томск, Энергетическая, 2,","Обучение работодателей и работников вопросам охраны труда","5503073533","1035504012301","Действующая организация","","","",""
"43","12.08.2010","Сибирская научно-производственная ассоциация \"Промышленная безопасность","Некоммерческое партнерство","660025, Красноярский край, Красноярск,  Затонская, 7,","Обучение работодателей и работников вопросам охраны труда","2464021808","1022402298753","Действующая организация","","","",""
"52","26.08.2010","Челябинская областная организация Общероссийской общественной организации - Общество \"Знание\" России","Государственное бюджетное учреждение","454000, Челябинск, ул. Васенко, д. 63","Обучение работодателей и работников вопросам охраны труда","7453002062","1027400000253","Действующая организация","","","",""
"54","26.08.2010","Федеральное государственное бюджетное учреждение \"Научно-исследовательский институт труда и социального страхования\" Министерства труда и социальной защиты Российской Федерации","Государственное бюджетное учреждение","105064, Москва, ул. Земляной вал, д.34","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7709889671","1117746895925","Действующая организация","","","",""
"56","26.08.2010","Автономная некоммерческая организация \"Учебно-консультационный центр охраны труда, промышленной безопасности и социального партнерства","Автономная некоммерческая организация","127106, Москва, ул. Гостиничная, д.5, строение 10","Обучение работодателей и работников вопросам охраны труда","7715072260","1107799001584","Действующая организация","","","",""
"60","26.08.2010","Автономная некоммерческая организация Учебный центр Московского института энергобезопасности и энергосбережения","Автономная некоммерческая организация","105043, Москва, ул. 4-я Парковая, д. 27","Обучение работодателей и работников вопросам охраны труда","7719286224","1057719039498","Действующая организация","","","",""
"59","26.08.2010","Негосударственное образовательное учреждение дополнительного профессионального образования \"Кварта","ПО Негосударственное образовательное учреждение  профессионального образоваия","190068, Санкт-Петербург, переулок Бойцова, д.7","Обучение работодателей и работников вопросам охраны труда","7825470401","1027809181905","Действующая организация","","","",""
"66","31.08.2010","Автономная некоммерческая организация дополнительного профессионального образования \"Юнитал-М","Автономная некоммерческая организация","101000, Москва, Москва, Малый Златоустинский пер., 6,","Осуществление функций службы охраны труда или специалиста по охране труда работодателя, численность работников которого не превышает 50 человек; Обучение работодателей и работников вопросам охраны труда","7706238953","1037739086725","Действующая организация","","","",""
"50","13.08.2010","Ассоциация \"Некоммерческое партнерство \"Кузбасский межотраслевой Центр охраны труда","Автономная некоммерческая организация","650002, Кемеровская область, Кемерово,  Институтская, 3, 313","Обучение работодателей и работников вопросам охраны труда","4208011898","1034205031850","Действующая организация","","","",""
"63","31.08.2010","Негосударственное образовательное учреждение \"Учебный центр \"Самара","ПО Негосударственное образовательное учреждение  профессионального образоваия","443068, Самара, ул. Ново-Садовая, д. 106, корп. 155, 4-й этаж","Обучение работодателей и работников вопросам охраны труда","6316095909","1046300577421","Действующая организация","","","",""
"61","13.08.2010","Негосударственное образовательное учреждение дополнительного профессионального образованя \"Учебно-методический центр","ПО Негосударственное образовательное учреждение  профессионального образоваия","398002, Липецкая область, Липецк, Семашко, 1,","Обучение работодателей и работников вопросам охраны труда","4826020382","1024840846898","Действующая организация","","","",""
"48","12.08.2010","Негосударственное образовательное Учреждение Дополнительного профессионального образования \"Центр научной организации и охраны труда","ПО Негосударственное образовательное учреждение  профессионального образоваия","443011, Самарская область, Самара,  Советской Армии, 253, 2","Обучение работодателей и работников вопросам охраны труда","6316103469","1056316052517","Действующая организация","","","",""
"49","12.08.2010","Государственное образовательное учреждение высшего профессионального образования \"Кубанский государcтвенный технологический университет","ВПО Государственное образовательное учреждение высшего профессионального образоваия","350072, Краснодар, ул, 2","Обучение работодателей и работников вопросам охраны труда","2310018876","1047796317832","Действующая организация","","","",""
"67","01.09.2010","Негосударственное образовательное учреждение \"Учебный центр \"Промышленная безопасность","Общество с ограниченной ответственностью","423450, Альметьевск, ул. Советская, 73","Обучение работодателей и работников вопросам охраны труда","1644043132","1061600053459","Действующая организация","","","",""
"68","26.08.2010","Автономная некоммерческая профессиональная образовательная организация  \"Учебно-курсовой комбинат","Автономная некоммерческая организация","461049, Оренбургская область, Бузулук, 2 микрорайон, 40,","Обучение работодателей и работников вопросам охраны труда","5603043444","1155658030527","Действующая организация","","","",""
"71","23.08.2010","Федеральное государственное бюджетное образовательное учреждение высшего образования \"Нижегородская государственная сельскохозяйственная академия","ВПО Государственное образовательное учреждение высшего профессионального образоваия","603107, Нижегородская область, Нижний Новгород, пр-кт Гагарина, 97,","Обучение работодателей и работников вопросам охраны труда","5261002795","1025203560799","Действующая организация","","","",""
"73","23.08.2010","Государственное образовательное учреждение дополнительного профессионального образования \"Пензенский областной учебно-методический Центр","ПО Негосударственное образовательное учреждение  профессионального образоваия","440008, Пензенская область, Пенза, Некрасова, 24,","Обучение работодателей и работников вопросам охраны труда","5836011830","1025801355612","Действующая организация","","","",""
"72","23.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Учебный центр \"РАКурс","ПО Негосударственное образовательное учреждение  профессионального образоваия","152915, Ярославская область, Рыбинск, пр-кт Генерала Батова, 32б,","Обучение работодателей и работников вопросам охраны труда","7610056871","1027601112824","Действующая организация","","","",""
"70","23.08.2010","ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ \"УЧЕБНО-КУРСОВОЙ КОМБИНАТ БУДЁННОВСКИЙ","ПО Негосударственное образовательное учреждение  профессионального образоваия","356800, Ставропольский край, Буденновск,  Розы Люксембург, 15,","Обучение работодателей и работников вопросам охраны труда","2624000982","1022603222498","Действующая организация","","","",""
"69","01.09.2010","Муниципальное автономное образовательное учреждение дополнительного профессионального образования \"Центр развития кадрового потенциала и малого предпринимательства \"Перспектива","Автономная некоммерческая организация","670034, Улан-Удэ, ул. Цивилева, д.33","Обучение работодателей и работников вопросам охраны труда","326040753","1070326000073","Действующая организация","","","",""
"90","27.08.2010","Негосударственное образовательное учреждение \"Нарымский учебно-производственный центр","ПО Негосударственное образовательное учреждение  профессионального образоваия","636460, Томская область, Колпашево,  Победы, 10,","Обучение работодателей и работников вопросам охраны труда","7007005120","1027003553500","Действующая организация","","","",""
"89","25.08.2010","Частное образовательное учреждение дополнительного профессионального образования \"Институт переподготовки и повышения квалификации","ПО Негосударственное образовательное учреждение  профессионального образоваия","160000, Вологодская область, Вологда, Зосимовская, 53а, 6","Обучение работодателей и работников вопросам охраны труда","3525154366","1053500111818","Действующая организация","","","",""
"81","24.08.2010","Общество с ограниченной ответственностью \"Северный научный учебно-методический центр","Общество с ограниченной ответственностью","169900, Республика Коми, Воркута, Ленина,  38,  324","Обучение работодателей и работников вопросам охраны труда","1103042540","1081103000087","Действующая организация","","","",""
"93","27.08.2010","Некоммерческое частное образовательное учреждение дополнительного профессионального образования \"Северо-Кавказский региональный учебный центр","ПО Негосударственное образовательное учреждение  профессионального образоваия","350062, Краснодарский край, Краснодар,  Атарбекова, 42,","Обучение работодателей и работников вопросам охраны труда","2311010421","1022301812830","Действующая организация","","","",""
